pi_1,pi_2,pi_3,pi_4
0.0780479228711556,0.024359430520097335,0.00011455855087610055,0.897478088057871
0.10704699787448935,0.030443725184272165,0.009321599895036718,0.8531876770462017
0.11902082277339193,0.0027073778889941847,0.04629127587952994,0.8319805234580838
0.18332972003662323,0.038504978624378405,0.12370356670930296,0.6544617346296954
0.10376839438734685,0.28335668416894255,1.0814405705135272e-05,0.6128641070380054
0.012561222422651928,0.060958228511277406,0.00014030853691465617,0.9263402405291561
0.16544531121047928,0.004991112563548522,0.003922132268234814,0.8256414439577374
0.005823423597516508,0.03502635497755146,0.15190552100601876,0.8072447004189133
0.04485938871010696,0.007425633191278169,0.009226735375052201,0.9384882427235627
0.020218947044212777,0.12512375558051222,0.05685743675518601,0.797799860620089
0.017411729491581034,0.3846577347644947,0.06756716392991721,0.530363371814007
0.0006004013220848589,0.05658374075830409,0.4605343983669583,0.4822814595526527
0.0040790737592864175,0.009576086970163784,0.08919770741014435,0.8971471318604055
0.02071199030723976,0.12965989723623658,0.023787544633919196,0.8258405678226044
0.0701757686021594,1.775537344553927e-05,0.06793063064445584,0.8618758453799393
0.07644392180632634,0.0833856258180698,0.04396385609356846,0.7962065962820355
0.0909094071587082,0.005343109394146246,0.17276373982474394,0.7309837436224017
0.010425197374926504,0.11136852352799487,0.004542189463333232,0.8736640896337453
0.30944444003617666,0.11697739541443389,0.04589837323224258,0.5276797913171469
0.0021903598181970256,0.00019464282100889522,0.0017921149003688945,0.9958228824604252
6.333261637944297e-05,0.551293403133791,0.13094761446196151,0.317695649787868
0.08968660840516439,0.003686451343916647,0.17175930950326565,0.7348676307476533
0.08244886151472602,0.10849023662236347,0.024776868462291726,0.7842840334006188
0.04078128054137408,0.0006600860171149166,0.008436061656542744,0.9501225717849683
0.08174010788983092,0.0034158694500461477,0.0009140555693762383,0.9139299670907468
0.0018091132847022162,0.009278377464030147,0.006762209786779582,0.9821502994644881
0.03865194028436188,0.03803555194483202,0.10944113147496623,0.8138713762958398
0.011335332604440881,0.0617667299364174,0.000905936189563683,0.925992001269578
0.034019392384896575,0.14693089216380975,0.24004871795618454,0.5790009974951091
0.23305051810018895,0.018054057480244988,0.0017627548265310897,0.7471326695930349
0.011530036782387657,0.03567294957769028,0.01132333967050565,0.9414736739694165
0.024355009239328207,0.004631520486720874,0.010597512978768032,0.9604159572951829
0.04487315217230208,0.04530642206868395,0.0057029516719934075,0.9041174740870206
0.12000436575658646,0.006102192869922409,0.005717262681427059,0.8681761786920641
0.16952966188316623,0.22192583054694462,0.01882473953940349,0.5897197680304856
0.005001707194824881,0.26549571500280106,0.07772520130577583,0.6517773764965983
0.014132108622062768,0.3386480632760498,0.02121059508579791,0.6260092330160895
9.330512083445345e-05,0.004430016797214957,0.15761729821827625,0.8378593798636743
0.26550205420249495,0.07739359564299271,0.07959368886964084,0.5775106612848714
0.19184944117552147,0.024619741096300777,0.08577415221216413,0.6977566655160136
0.0567461373359786,0.02296547223620218,0.040912407420901506,0.8793759830069178
0.0060132882602384405,0.1534768714503424,0.052135643328062545,0.7883741969613567
0.0016272546959842094,0.15911075174495123,0.011876386271707926,0.8273856072873566
0.0006121977222313604,0.004475108017435652,0.011609985862972745,0.9833027083973602
0.20457551079891031,0.09794285125704891,0.153875874901948,0.5436057630420927
0.10933393670513078,0.055431562955781256,0.13886377795664792,0.69637072238244
0.011269596268824757,0.012430962734059747,0.12774145654604516,0.8485579844510703
0.16846681254899973,0.0007345231828807218,2.3344304989698327e-06,0.8307963298376205
0.0052398616813434905,0.010471120150599233,0.07819967489585539,0.9060893432722019
0.0019455789210700701,0.02869908665496129,0.00212036831524394,0.9672349661087247
0.015203528299101814,0.013326426811766653,0.13179533397240817,0.8396747109167234
0.26302764144483876,0.28854422273411656,0.005376729140790301,0.44305140668025444
0.04081858824849382,0.1986269041461436,0.03706166397261341,0.7234928436327492
0.20199167304870064,0.07335665352919091,0.019619802106827556,0.7050318713152809
0.019632560456444834,0.0009002459475445727,0.6586012353484647,0.320865958247546
0.01973185444555693,0.30686097945253704,0.1823928330495565,0.4910143330523496
0.001073216051446262,0.007850270488497632,0.03213996932947563,0.9589365441305805
0.03625288949363907,0.06330284929478741,0.14557860043367726,0.7548656607778964
0.1026889220272676,0.1947910772925348,0.19597773784645278,0.5065422628337447
0.021963693523650216,0.39655490461884557,0.011292611422114391,0.57018879043539
2.42315079296091e-05,0.0447098035600486,0.010688977914454684,0.9445769870175671
0.03609940093447787,0.06020367347403231,0.12257714335691262,0.7811197822345771
0.042368237467778555,0.0021359343610357446,0.0015337092743443114,0.9539621188968415
9.853286685884329e-06,0.10043190741172313,0.08176622498808936,0.8177920143135016
0.002637344411293603,0.049525952562536835,0.18991544055742543,0.7579212624687443
0.00023135994308140045,0.0022220613762598466,0.07910346635412997,0.9184431123265289
0.08705876915474604,0.006841278159153442,0.0002655119905658027,0.9058344406955346
0.0034127561767962554,0.3320412163154903,0.05369378417291589,0.6108522433347976
0.044002330005422356,0.08478348790030453,0.005786335029678338,0.8654278470645949
0.35321395897389146,0.022065540374841656,7.873074304510374e-06,0.6247126275769624
0.002964972305796462,0.33135483708469043,0.06537074583855611,0.6003094447709569
0.031032343114821656,0.0234560061354411,0.01836972777030929,0.927141922979428
0.10088401795277208,0.07914716190308028,0.16790455903315618,0.6520642611109915
0.018070673092563806,0.05814299014338204,0.015669985516982857,0.9081163512470712
0.040193300853231737,0.016848791367760404,0.005947693420483435,0.9370102143585245
0.0069385787104481456,0.01915434392193684,0.037759903249351606,0.9361471741182635
0.09082280201541426,0.010932808464506946,0.006328182126848735,0.89191620739323
0.00010941675778675264,0.3764489834457789,0.04106881931097093,0.5823727804854634
0.032591611147021915,0.03421755112360988,0.06878152590419119,0.8644093118251771
0.011699066916068892,0.2948867483754784,0.0006517786312526607,0.6927624060772001
0.08533075915637242,0.05796936452983971,0.021864260128390548,0.8348356161853974
0.048388100963565266,0.3968860997207702,0.05664656081506722,0.4980792385005972
0.11256942817601666,0.07696260783239185,0.00015390494839396477,0.8103140590431975
0.05307012957240658,0.33067542624982765,0.1087513346228612,0.5075031095549046
0.08074282981015825,0.13343963202634612,0.190988089050287,0.5948294491132087
0.3838104121045362,0.012137132370028676,0.07197569277201596,0.5320767627534191
0.18991806674428063,0.04103017612693623,0.014232349888018754,0.7548194072407646
0.006914178205142247,0.0070725549591425015,0.0793003989522174,0.9067128678834978
0.004663132907792756,0.08315013557685627,0.041624159149217146,0.8705625723661338
0.030382286922836337,0.03045890346879708,0.06823815093319258,0.870920658675174
0.5101988743879169,0.001558606815258713,0.07195822239660088,0.4162842964002235
0.05612935001423944,0.33235278310193517,0.036522836401840564,0.5749950304819849
0.03417727007534876,0.0038656739807002537,0.05608272890202407,0.9058743270419269
0.0007769835319350429,0.7144029563207185,0.0022975409434711014,0.28252251920387544
0.12425873748919143,0.012900879486287277,0.013568605579972326,0.849271777444549
0.23079137930013896,0.3063800745372177,0.07006028656076746,0.39276825960187584
0.03783293910702499,0.002368419927242269,0.044477883761801534,0.9153207572039312
0.06763971274912842,0.08461574395644163,0.0035993096388142686,0.8441452336556157
0.011480305320025797,0.03142955133224979,0.012333541123356983,0.9447566022243675
0.11574357697869402,0.011446320475584111,0.31486931941897633,0.5579407831267456
0.0530831049432573,0.3160127723770341,0.175426839437324,0.45547728324238457
0.03843459822169622,0.018323479889527254,0.3082004692703942,0.6350414526183823
0.10990226051944858,0.046296986878482244,0.042835835238094144,0.800964917363975
0.006777402118281474,0.1381924097948588,0.05090606162908642,0.8041241264577733
0.00499562883271675,0.0016725248619016168,0.13681279835302187,0.8565190479523598
0.08301497553980344,0.17222095103441382,0.07156765660709363,0.6731964168186891
0.02339534570680081,0.005225376913473675,0.0016477051542288232,0.9697315722254967
0.011479631721781933,0.017657773685190184,0.0018978089782827605,0.9689647856147452
0.00023348592039163874,0.1564553347088532,0.08795931456173134,0.7553518648090238
0.05335888148002306,0.0042833736676605606,0.0005594148354823,0.941798330016834
0.13933990042768282,0.06134684683703501,0.010272164453834491,0.7890410882814476
0.10791686998901125,0.00976394533408401,0.010901879135960524,0.8714173055409441
2.2330959290245267e-05,0.12759681909917134,0.17354233037522232,0.698838519566316
0.0778666358161294,0.021037606778040546,0.0059171554945659,0.8951786019112642
0.03513208218984446,0.12905312173856298,0.02684157942195303,0.8089732166496395
0.004785422808064997,0.024271868181517785,0.08706425621041662,0.8838784528000004
0.001769141570579129,0.07968599745778028,0.001038223686193881,0.9175066372854466
0.0008601627275470937,1.530826205735859e-05,0.20416777786341483,0.7949567511469808
0.0002925651325956228,0.6306485270960126,0.00584353104831108,0.3632153767230807
0.0007399900543536234,0.13662502466267598,0.0061694362921349425,0.8564655489908354
0.04281471839351528,2.0677960783674894e-05,0.03746545607171205,0.919699147573989
0.026550738305841308,0.05471864189898424,0.009579854165674896,0.9091507656294996
0.0012401297857413094,5.906675943503264e-06,0.15612055310166584,0.8426334104366494
0.017942525197731016,0.1614562853775721,0.0039253039360443095,0.8166758854886524
8.927562247944192e-05,0.03795634644382864,0.13371032891641657,0.8282440490172753
0.0007319389019634682,0.1431962642808903,0.013447375245233765,0.8426244215719124
0.01092824821854725,0.00745652433443308,0.2562016019655842,0.7254136254814355
0.23340880781180784,0.0044686850837778866,0.1566608873398323,0.605461619764582
0.10288866328741103,0.004975177470422982,0.14923206956214327,0.7429040896800226
0.070415197412792,0.0008804502119772813,0.02791365020153635,0.9007907021736944
0.10153031934055018,0.10602177094530033,0.06132063780207317,0.7311272719120763
0.07435648375417758,2.7495773567067218e-05,0.00012263815790879056,0.9254933823143465
0.03178650610146272,0.0019576904787478346,0.10167416782719844,0.864581635592591
0.00019501440360602686,0.20062084821099904,0.36764970581685685,0.43153443156853805
0.019686293995578787,0.062044724842279984,0.12192416840088176,0.7963448127612595
0.04514454623652341,0.2619372522186752,0.011276158175729804,0.6816420433690715
0.015297044774850074,0.10073583499131135,0.04834658526272274,0.8356205349711159
0.04121540610022173,0.011630554811141365,0.09875142580247712,0.8484026132861598
0.00023010876124150782,0.2750170193665295,0.04200308041461156,0.6827497914576175
0.0002489083522104279,0.004640346049317747,0.03920393481842452,0.9559068107800474
